Day,Acrodictys,Agrocybe,Algae,Alternaria,Arthimium,Ascomycetes,Asperisporium,Basidiomycetes,Beltrania,Botrytis,Cercospora,Cladosporium,Curvularia,D. Conidia/Hyphae,Dendryphiella,Drechslera/Helmintho.,Dichotomophthora,Diplococcum,Epicoccum,Fusariella,Ganoderma,Helicomina,Microsporum,Misc. Fungus (Hyaline),Monodictys,Myxomycete/Smut,Nigrospora,Penicillium/Aspergillus,Periconia,Pithomyces,Powdery Mildew,Puccinia,Rust,Spegazinia,Stemphyllium,Tetrapola,Tilletia,Torula,Pestalotiopsis,Pseudocercospora,Polythrincium,Pleospora
242,0,0,90,42.2,0,1972.2,0,302.5,0,0,45.8,1241.5,13,0,0,13,0,0,17,0,0,0,0,0,0,190.2,0.5,82.5,10.5,3,1,0,4.5,0,12.2,0.5,0,4.5,0,0,0,0
243,0,0,28.8,83.8,0,1770.5,0,352,0,0,36,2566.5,8.5,0,0,17.5,0,0,47,0,0,0,0,0,0,217.2,4,56,3.5,2,6,0,24,1.5,1,2,0,5,0,0,0,0
244,0,0,92.5,78.5,0,1323,0,249.5,0,0,60.5,3214.2,9,0,0,22.5,0,0,33,0,0,0,0,0,0,228.5,2.5,123,18,4,7.5,0,18.5,2,0,2,0,1,0,0,0,0
245,0,0,11.2,105.2,0,3130.6,0,568.6,0,0,16.4,2388.6,6.8,0,0,27.2,0,0,21.6,0,0,0,0,0,0,99.2,1.6,24,4.8,2,2.4,0,7.2,2.8,0,0,0,6.4,0,0,0,0
246,0,0,8,30.8,0,3002.2,0,558,0,0,15.5,1360.8,5,0,0,8,0,0,15,0,0,0,0,0,0,60.8,2.5,26.2,5,1,1.5,0,10,2.5,0,0,0,3,0,0,0,0
247,0,0,58,58.2,0,2212,0,514.8,0,0,14.5,2537.5,20,0,0,16,0,0,16,0,0,0,0,0,0,184.8,4.5,44.2,6,3,3.5,0,24,0.5,1.5,0.5,0,10,0,0,0,0
248,0,0,30.2,82,0,2404,0,673.2,0,0,46,2272,6.5,0,0,18.5,0,0,13,0,0,0,0,0,0,255,7,64.8,8,3,10.5,0,50.8,1.5,1.5,2,0,8,0,0,0,0
249,0,0,69,129.2,0,2819.5,0,530.5,0,0,48.8,3101,13.5,0,0,33.8,0,0,35,0,0,0,0,0,0,258.8,3.5,40,10.5,2.5,7,0,31.5,3,2,2.5,0,7.5,0,0,0,0
250,0,0,61,97,0,1186.8,0,290.5,0,0,38.5,3475.2,5.5,0,0,26.5,0,0,29,0,0,0,0,0,0,185.2,1.5,48.2,8,1.5,11.5,0,16,3,5,2.5,0,10,0,0,0,0
251,0,0,27.2,104.4,0,1620.8,0,570.2,0,0,53.6,3340.8,4.4,0,0,31,0,0,30,0,0,0,0,0,0,179.8,6,75.4,9.6,1.2,10,0,18.4,1.6,2,0.4,0,7.2,0,0,0,0
252,0,0,37.2,88,0,2735.8,0,346.2,0,0,51.6,2852.8,4.4,0,0,24.4,0,0,45.6,0,0,0,0,0,0,135,2,38.4,6.8,3.6,4.4,0,20.4,1.2,0.4,2,0,2,0,0,0,0
253,0,0,34,67.2,0,2935.8,0,454.8,0,0,27,3672.8,6,0,0,15.5,0,0,45.8,0,0,0,0,0,0,99.2,5,111.5,2.5,1.5,3.5,0,15,1.5,2,0,0,10,0,0,0,0
254,0,0,81.8,58.5,0,3154,0,430,0,0,30.5,3130.2,8,0,0,23,0,0,19.5,0,0,0,0,0,0,78.5,8,127.2,5.5,1,2,0,13,0.5,0,0,0,0,0,0,0,0
255,0,0,18,100.5,0,2819.5,0,237.5,0,0,59.5,1532.8,5.5,0,0,21.5,0,0,20.5,0,0,0,0,0,0,91,3.5,19,15.5,1,2,0,25.8,1.5,1,0,0,1,0,0,0,0
256,0,0,28,25.3,0,1750,0,381.7,0,0,18,1444,0,0,0,8.7,0,0,16.7,0,0,0,0,0,0,91.3,4.7,46,6.7,0.7,0,0,14.7,1.3,1.3,0,0,0,0,0,0,0
257,0,0,45.8,21,0,1814.2,0,386.5,0,0,33.2,1669,11.5,0,0,8.5,0,0,16.5,0,0,0,0,0,0,167.5,11.5,18.5,6.5,2,5,0,18.5,2,0,0.5,0,4.5,0,0,0,0
258,0,0,35.2,24,0,1862.4,0,488.2,0,0,11.6,1416.8,3.6,0,0,14.4,0,0,17.6,0,0,0,0,0,0,133.8,6,49.4,3.6,1.2,0.8,0,16.4,2.4,0.8,2.4,0,6.8,0,0,0,0
259,0,0,82.4,62.2,0,2671.4,0,561.4,0,0,38.8,2491.8,5.2,0,0,26,0,0,20.4,0,0,0,0,0,0,99.8,5.2,60,6.4,0.8,2.8,0,26,1.2,0.4,0,0,4,0,0,0,0
260,0,0,16,34,0,3400.5,0,327.5,0,0,22,1130.5,7.5,0,0,11,0,0,21,0,0,0,0,0,0,209.2,7,104.2,8,2,0,0,11.5,0,1.5,0,0,2,0,0,0,0
261,0,0,3,35.5,0,2303,0,467.5,0,0,43,2211.8,7,0,0,11,0,0,18,0,0,0,0,0,0,84.2,5,103,6.5,1.5,5,0,22,1,0.5,0,0,2.5,0,0,0,0
262,0,0,10,47.8,0,3016.5,0,602.2,0,0,17,2237.8,6.5,0,0,12.5,0,0,14.5,0,0,0,0,0,0,145.8,10,35,4.5,0.5,4,0,19,1,2,3.5,0,1.5,0,0,0,0
263,0,0,44.2,32,0,2915.5,0,286,0,0,14,2503.8,3,0,0,13,0,0,23.5,0,0,0,0,0,0,111,6,76.8,5.5,1.5,3,0,17,0,1,0,0,2.5,0,0,0,0
264,0,0,85.7,47,0,1319,0,408.7,0,0,17.3,1974.7,2.7,0,0,15.3,0,0,15.3,0,0,0,0,0,0,95.3,4.7,47.7,7.3,0.7,8.7,0,16,2.7,2.7,0,0,9.3,0,0,0,0
265,0,0,33.6,44,0,1141.6,0,264.2,0,0,20,1411.4,4,0,0,16.8,0,0,25.2,0,0,0,0,0,0,108.4,1.2,40.8,4.4,2,6.4,0,15.2,2,0.4,2,0,9.2,0,0,0,0
266,0,0,16.8,84.2,0,1535,0,256.2,0,0,35.2,2688.8,12,0,0,14.4,0,0,44.8,0,0,0,0,0,0,100.8,7.6,29.6,12.4,1.6,6.4,0,18.8,2.4,1.2,1.6,0,9.6,0,0,0,0
267,0,0,13.3,85,0,992.7,0,532,0,0,42,2842.7,8.7,0,0,21.3,0,0,43,0,0,0,0,0,0,123,9.3,101.7,6,4,11.3,0,22,3.3,4,1.3,0,8,0,0,0,0
268,0,0,44,69.5,0,2126.8,0,284,0,0,24,2421.5,7.5,0,0,17.5,0,0,29.5,0,0,0,0,0,0,123.5,5.5,67.5,4.5,4.5,5.5,0,15,2,1.5,0,0,6,0,0,0,0
269,0,0,42.2,52.2,0,3591.5,0,528,0,0,29,1451,7,0,0,14,0,0,28,0,0,0,0,0,0,108,4,60.8,2,2.5,5,0,25.5,0.5,0,3.5,0,4.5,0,0,0,0
270,0,0,57.5,43,0,3227,0,382.8,0,0,50.5,3084,7,0,0,12,0,0,29,0,0,0,0,0,0,94.5,5,186.8,3,2.5,4,0,12,2,0,0.5,0,4.5,0,0,0,0
271,0,0,39.2,34.5,0,2315.2,0,385,0,0,59.5,2120.8,7.5,0,0,10,0,0,11,0,0,0,0,0,0,178.5,7.5,133.2,7.5,5,3,0,18,0.5,19.2,2.5,0,3.5,0,0,0,0
272,0,0,14,37.5,0,1903.5,0,252.8,0,0,32.5,2613.8,6.5,0,0,17,0,0,9.5,0,0,0,0,0,0,188.2,3,111.8,6,1.5,6,0,13,0.5,0,0.5,0,0,0,0,0,0
273,0,0,41.2,84.2,0,1779.6,0,440.8,0,0,82.2,4310.8,12.4,0,0,21,0,0,39.2,0,0,0,0,0,0,102.2,1.6,6,12,1.2,3.6,0,11.2,1.2,6.8,0.4,0,4.8,0,0,0,0
274,0,0,74,54.5,0,1664.2,0,235.5,0,0,66.8,2170,6,0,0,13,0,0,34,0,0,0,0,0,0,108,1.5,34,9,1,1,0,14.5,1.5,11.5,0.5,0,4,0,0,0,0
275,0,0,140.2,45.5,0,2186.5,0,432.5,0,0,104.5,2370.5,4,0,0,13,0,0,19.5,0,0,0,0,0,0,82,0,137.5,5,1,0,0,3.5,1,1,0,0,4,0,0,0,0
276,0,0,119.2,28,0,3462.5,0,438.8,0,0,82.8,2037.5,2,0,0,16.5,0,0,7.5,0,0,0,0,0,0,123,0.5,139.5,35.5,1.5,7,0,8,1.5,1,0,0,5,0,0,0,0
277,0,0,48,12.8,0,1864.8,0,330.8,0,0,53.4,2594.2,6,0,0,13.6,0,0,16.4,0,0,0,0,0,0,219.2,0.8,100.8,23.2,2.4,9.6,0,6,1.6,5.6,0.8,0,2,0,0,0,0
278,0,0,55.8,25.3,0,1740.5,0,272.8,0,0,32.7,1512.2,22.3,0,0,16,0,0,15.7,0,0,0,0,0,0,106.8,1.7,68.2,12.3,2.3,1.7,0,3.7,1.3,17,0.7,0,3.7,0,0,0,0
279,0,0,113.4,51.2,0,2078,0,344.2,0,0,58,2469.8,25.6,0,0,10,0,0,43.6,0,0,0,0,0,0,140,2,225.6,15.6,2.8,4,0,5.6,0.8,20,0,0,3.6,0,0,0,0
280,0,0,87.8,60,0,1018,0,294.8,0,0,31.5,1596,10.5,0,0,14.5,0,0,20.5,0,0,0,0,0,0,192,0,103.5,9,0,0,0,2,0,29.2,0.5,0,5,0,0,0,0
281,0,0,154.5,40.5,0,1048,0,429,0,0,80,1351.5,10.5,0,0,15,0,0,26,0,0,0,0,0,0,152.5,0,42.2,11.5,1,2,0,5.5,7,22.5,1,0,7.5,0,0,0,0
282,0,0,40,23,0,1584.2,0,473.5,0,0,133,2563,16,0,0,11.5,0,0,24,0,0,0,0,0,0,114,0,125.2,18.5,1,3.5,0,9.5,0.5,3.5,1,0,0.5,0,0,0,0
283,0,0,28,21.5,0,1367.8,0,151.2,0,0,103.5,1435.2,11.5,0,0,10.5,0,0,7.5,0,0,0,0,0,0,94.8,0,92.5,12.5,0,1,0,4.5,0,0,1.5,0,6,0,0,0,0
284,0,0,30.6,38.8,0,1472.8,0,274,0,0,45.6,1258.8,10.4,0,0,13.6,0,0,14.8,0,0,0,0,0,0,176.4,7.2,85.6,12.4,3.2,2,0,2.4,1.2,6,0,0,2.4,0,0,0,0
285,0,0,63.3,49.2,0,1741.5,0,272,0,0,44.3,1489,5.3,0,0,12,0,0,22.3,0,0,0,0,0,0,113.8,2,70,11,1.3,0,0,3,2.7,25.8,0.3,0,4.3,0,0,0,0
286,0,0,102.2,62.8,0,2627.8,0,415.8,0,0,79.6,1818.6,5.2,0,0,16.4,0,0,25.6,0,0,0,0,0,0,109.6,2.4,22,14.4,2.8,6,0,5.6,0,3.2,0.4,0,7.2,0,0,0,0
287,0,0,43,54,0,1864,0,305.5,0,0,80,1351.5,9.5,0,0,16,0,0,22.5,0,0,0,0,0,0,159.8,0,72.5,5.5,1.5,2.5,0,2.5,0.5,6,0.5,0,9,0,0,0,0
288,0,0,143.5,31,0,691,0,159,0,0,29,842.5,5,0,0,11.8,0,0,11,0,0,0,0,0,0,110.5,0,43.5,8,0,0.5,0,2.5,0.5,12.5,0,0,7,0,0,0,0
289,0,0,114,44,0,1373.8,0,309.5,0,0,45,1630,7.5,0,0,10,0,0,27.5,0,0,0,0,0,0,100,0,67.5,8.5,1,0,0,4,0,15,2,0,3,0,0,0,0
290,0,0,51,24,0,1684,0,446,0,0,19,1182.5,8,0,0,9.5,0,0,17.5,0,0,0,0,0,0,82.2,1,68.2,16.5,3.5,3.5,0,2.5,1,0.5,2,0,11.5,0,0,0,0
291,0,0,115.2,28,0,1829.8,0,320.2,0,0,25,1187.5,6.5,0,0,14,0,0,16,0,0,0,0,0,0,121.8,6,58.2,21.5,7.5,1,0,6.5,1,16,0,0,17.5,0,0,0,0
292,0,0,104.5,28,0,1971.2,0,289.2,0,0,44.2,1336,6,0,0,9,0,0,10.5,0,0,0,0,0,0,76.2,3.5,109.5,16.5,6,4,0,4.5,1,22.5,1,0,1.5,0,0,0,0
293,0,0,50.8,27.6,0,1662.6,0,346.6,0,0,35.2,1154.6,8,0,0,5.6,0,0,19.6,0,0,0,0,0,0,74.8,4,131.8,10,2.4,1.2,0,2,0.4,17.6,0,0,5.2,0,0,0,0
294,0,0,31.8,35.2,0,918.8,0,423,0,0,50.5,1658.8,5.5,0,0,12.5,0,0,39,0,0,0,0,0,0,99.8,1.5,26.8,6,1.5,8,0,7.5,0,10,1,0,4,0,0,0,0
295,0,0,18,18,0,1230,0,288,0,0,36.5,1399.2,1.5,0,0,4,0,0,7,0,0,0,0,0,0,50.5,0,83,14,2,0.5,0,4,0,10.5,0.5,0,1.5,0,0,0,0
296,0,0,102,2.7,0,1294,0,342.7,0,0,24.7,1246.7,0.7,0,0,8.7,0,0,3.3,0,0,0,0,0,0,0,0,50,22,0,0,0,5.3,0,8,0.7,0,2.7,0,0,0,0
297,0,0,39,6,0,1477.5,0,220.8,0,0,24,818.8,2.5,0,0,4,0,0,0,0,0,0,0,0,0,40.2,0,149,14.5,0,0,0,0.5,1.5,3.5,0.5,0,3.5,0,0,0,0
298,0,0,35.5,18,0,1064.5,0,251.2,0,0,13,933,1,0,0,5.5,0,0,8,0,0,0,0,0,0,46.5,2.5,175.8,10,1,3,0,1,2.5,4.5,1.5,0,10,0,0,0,0
299,0,0,16,32.2,0,1353.8,0,330.2,0,0,17.2,908,1.2,0,0,5.6,0,0,6.8,0,0,0,0,0,0,44.4,6.4,105.4,1.2,1.6,0.8,0,2.4,1.6,4.4,0.4,0,6,0,0,0,0
300,0,0,8.4,10.4,0,821.6,0,195.4,0,0,63,527.6,3.2,0,0,8.8,0,0,6.4,0,0,0,0,0,0,138.6,3.2,37.2,3.2,1.2,2,0,2.4,0.8,12,0.8,0,7.2,0,0,0,0
301,0,0,67.2,8,0,1394.2,0,431.5,0,0,75.8,538,6.5,0,0,7,0,0,1,0,0,0,0,0,0,143,0.5,59.2,2.5,4,0,0,7.5,2.5,4,0.5,0,8.5,0,0,0,0
302,0,0,19.5,18.5,0,533.2,0,324.5,0,0,27.5,1219,17.8,0,0,2.5,0,0,33.5,0,0,0,0,0,0,96,5.5,62,8.5,6,0,0,5.5,1.5,0,1,0,1,0,0,0,0
303,0,0,13.5,25,0,1104.2,0,514,0,0,39,1610,10.5,0,0,3.5,0,0,16.5,0,0,0,0,0,0,155.5,10.5,113,5,2,0,0,2,2.5,0,1,0,2.5,0,0,0,0
304,0,0,43.8,40,0,2843.8,0,724.2,0,0,21,2121.2,10,0,0,11,0,0,14.5,0,0,0,0,0,0,110.5,12.5,207.8,9,2.5,2,0,4.5,3.5,3,1,0,6.5,0,0,0,0
305,0,0,42.8,28.5,0,2040.5,0,412,0,0,14.5,1187.2,4.5,0,0,12.5,0,0,24.5,0,0,0,0,0,0,127.2,13,87.8,10.5,6.5,3.5,0,10,1,2,0.5,0,5.5,0,0,0,0
306,0,0,55,26.5,0,1945.2,0,380.5,0,0,12.5,1196.5,13,0,0,5.5,0,0,14.5,0,0,0,0,0,0,175.2,5.5,24.5,6.5,4,0,0,7.5,1,0,3,0,3.5,0,0,0,0
307,0,0,24.8,33.6,0,2345.4,0,340.8,0,0,10.8,1290.8,7.2,0,0,8.4,0,0,13.6,0,0,0,0,0,0,103.8,6,108.8,10,4.4,3.2,0,2.8,2,2,0,0,16,0,0,0,0
308,0,0,75.6,61,0,2852,0,268.6,0,0,24.8,1859.6,5.2,0,0,16.8,0,0,32.6,0,0,0,0,0,0,137.2,9.2,36,11.6,2.4,0.4,0,8.8,2.4,1.2,1.2,0,11.2,0,0,0,0
309,0,0,9,24,0,920.5,0,146,0,0,25,1347.5,4,0,0,2.5,0,0,14.5,0,0,0,0,0,0,45.5,8,66.5,1,1,3.5,0,4.5,1,8.5,0,0,4,0,0,0,0
310,0,0,57,19,0,753.5,0,344,0,0,16.5,2240.8,5.5,0,0,5.5,0,0,12.5,0,0,0,0,0,0,86.2,14,74.5,1.5,0.5,5,0,4,1,0.5,0,0,0.5,0,0,0,0
311,0,0,11.5,55.8,0,2526.5,0,585.8,0,0,37,2194.5,9.5,0,0,14,0,0,18.5,0,0,0,0,0,0,156.5,11,181.5,5.5,0,7,0,9.5,0,1.5,0,0,5.5,0,0,0,0
312,0,0,21,80.8,0,2386.8,0,443.8,0,0,15,1665.8,4.5,0,0,15,0,0,16.5,0,0,0,0,0,0,97.5,4,78.5,4,3,6,0,3,1.5,3,0,0,3,0,0,0,0
313,0,0,10,37.2,0,3228,0,377.2,0,0,10.5,994.5,3.5,0,0,6.5,0,0,15,0,0,0,0,0,0,97,1.5,67,6,2.5,1.5,0,3,3,0,1,0,0,0,0,0,0
314,0,0,32.8,52.8,0,1543,0,379.4,0,0,26.8,1697,8.4,0,0,12.8,0,0,43.2,0,0,0,0,0,0,178.6,6.8,72.2,16,1.6,1.6,0,4.8,2,0.8,1.2,0,2,0,0,0,0
315,0,0,24.4,34.8,0,933.4,0,286,0,0,8.8,1269.4,12,0,0,4,0,0,31.6,0,0,0,0,0,0,185.2,8.4,55.6,11.6,2,2.8,0,6.4,3.6,0,1.2,0,16.4,0,0,0,0
316,0,0,36,22,0,437.5,0,170.5,0,0,7.5,1212,12.5,0,0,11,0,0,31.5,0,0,0,0,0,0,87.8,2.5,44.2,7,3.5,0,0,2.5,1,1.5,0.5,0,2.5,0,0,0,0
317,0,0,13,19.5,0,767.8,0,233.5,0,0,2,1462.2,2,0,0,9,0,0,17.5,0,0,0,0,0,0,71.5,8,80,0,2,1.5,0,4,0.5,0,0,0,6,0,0,0,0
318,0,0,79.3,43.7,0,2466,0,374,0,0,17.3,2673.3,16.7,0,0,16.7,0,0,19.3,0,0,0,0,0,0,122,40.3,147.7,10.7,2,11.3,0,6,1.3,5.3,1.3,0,5.3,0,0,0,0
319,0,0,36.5,24,0,2604.2,0,196.5,0,0,10.5,789.2,10,0,0,6.5,0,0,15.5,0,0,0,0,0,0,100.5,12.5,18.5,6,4.5,4.5,0,3.5,0,1.5,2,0,3,0,0,0,0
320,0,0,16,9,0,1085.5,0,311,0,0,7.5,898.2,6,0,0,8,0,0,17.5,0,0,0,0,0,0,88.5,11.5,64.5,7,2,1,0,3,2,0,0,0,2.5,0,0,0,0
321,0,0,33.8,15.2,0,1735.8,0,447.8,0,0,8.8,1270,6,0,0,6,0,0,24.4,0,0,0,0,0,0,120.6,19.8,84.4,3.6,2.8,0,0,5.6,2.8,0,0.4,0,5.6,0,0,0,0
322,0,0,8,14,0,1781.6,0,252,0,0,6,821.8,4.8,0,0,3.2,0,0,19.2,0,0,0,0,0,0,68.2,2.4,72.6,5.2,1.6,1.6,0,0.4,1.2,0,0,0,1.6,0,0,0,0
323,0,0,15,33.5,0,349,0,153.8,0,0,14.5,839.2,2.5,0,0,10.5,0,0,12,0,0,0,0,0,0,84.2,0.5,51.2,11.5,2,0.5,0,3,1,0,0,0,4,0,0,0,0
324,0,0,26,39.5,0,608.5,0,217.8,0,0,12.5,1513,15.5,0,0,13,0,0,29,0,0,0,0,0,0,91,5,45.2,4,1.5,0,0,5.5,2,0,0.5,0,6,0,0,0,0
325,0,0,80.8,57.5,0,656.2,0,261.2,0,0,14,1472,8.5,0,0,15,0,0,30,0,0,0,0,0,0,162.2,15.8,32,17.5,11,3.5,0,7.5,1.5,1,1.5,0,16.5,0,0,0,0
326,0,0,13,95.2,0,907,0,315,0,0,25.5,2622.5,7,0,0,14,0,0,16,0,0,0,0,0,0,176,20.2,141,11,5,1,0,2.5,1.5,0.5,1,0,8,0,0,0,0
327,0,0,17,24.5,0,2250,0,208.5,0,0,19.5,1639.8,10.5,0,0,9,0,0,60.5,0,0,0,0,0,0,144.8,12.5,28.5,17,8,4.5,0,3,0,2,1,0,0,0,0,0,0
328,0,0,10.8,35.8,0,1072,0,159.4,0,0,12.8,584.8,6,0,0,10.8,0,0,22.4,0,0,0,0,0,0,88.6,18.8,51.8,5.6,2.4,1.2,0,1.6,0.4,1.2,0.4,0,2,0,0,0,0
329,0,0,10,30.2,0,1798.2,0,185.5,0,0,6.5,1146.5,5.5,0,0,3,0,0,40.8,0,0,0,0,0,0,78.8,5.5,31.2,8,2,6.5,0,8,2,0,0.5,0,0,0,0,0,0
330,0,0,22.2,18.5,0,361.5,0,164.5,0,0,4.5,573.8,4.5,0,0,9.5,0,0,11,0,0,0,0,0,0,59.2,2.5,51,3,0.5,0,0,4.5,1,0,0,0,6,0,0,0,0
331,0,0,8,25,0,877.5,0,297.2,0,0,6.5,1896,13,0,0,16.5,0,0,7.5,0,0,0,0,0,0,120.8,2.5,135.2,7,3.5,0,0,2,1.5,0,0,0,5,0,0,0,0
332,0,0,57.2,79.8,0,697.8,0,162.2,0,0,26.5,2628.2,11.5,0,0,18.5,0,0,121.5,0,0,0,0,0,0,197.2,11,61,6.5,3,8,0,5.5,2.5,1,0.5,0,10,0,0,0,0
333,0,0,30.7,16,0,1185.7,0,172.3,0,0,27.3,1579,9.3,0,0,3.3,0,0,51,0,0,0,0,0,0,104,12,69.3,3.3,2,0.7,0,1.3,0.7,0.7,1.3,0,2.7,0,0,0,0
334,0,0,61.5,49.8,0,772.5,0,245.5,0,0,31,1629.5,7,0,0,6.5,0,0,29.5,0,0,0,0,0,0,53.8,2,229,3,2.5,0,0,1.5,3,2,0,0,3,0,0,0,0
335,0,0,92,76.4,0,1605.8,0,283.6,0,0,46.8,1756.8,4.8,0,0,18.8,0,0,55.8,0,0,0,0,0,0,116.8,3.6,70,14,2.8,0,0,4.8,0,3.6,0,0,11.2,0,0,0,0
336,0,0,0,48.2,0,2083.8,0,266.5,0,0,21.5,1259,20,0,0,14,0,0,47.2,0,0,0,0,0,0,75.2,2,13.5,13,3,6.5,0,6,0,0,0,0,7,0,0,0,0
337,0,0,12.7,28.7,0,842.7,0,370.3,0,0,20,1393.3,4,0,0,5.3,0,0,18.7,0,0,0,0,0,0,151.3,2,96,15.3,2,0.7,0,0,0.7,4.7,0,0,12.7,0,0,0,0
338,0,0,130,28.5,0,1621.2,0,505,0,0,54.5,1962.5,13,0,0,13,0,0,28,0,0,0,0,0,0,178.5,3.5,191,9.5,0,0,0,0.5,2.5,2,0.5,0,10.5,0,0,0,0
339,0,0,29.5,32,0,3136.5,0,252.5,0,0,32,987.2,22.5,0,0,12,0,0,24,0,0,0,0,0,0,128.5,7.5,146.5,12,1,0,0,2.5,4,1,0,0,7,0,0,0,0
340,0,0,10.8,39.8,0,1308.8,0,237,0,0,68.8,1371.8,18,0,0,20.8,0,0,33.2,0,0,0,0,0,0,90.6,8.4,100.6,24.8,2.4,0,0,3.2,1.6,7.6,0.4,0,8.4,0,0,0,0
341,0,0,22.4,42.8,0,1277.6,0,197.6,0,0,14,722.8,22,0,0,9.6,0,0,21.2,0,0,0,0,0,0,75.8,8.4,39.8,3.2,2.8,0,0,4,0.4,0,0,0,5.6,0,0,0,0
342,0,0,38.7,45.7,0,1230,0,273.2,0,0,22.7,1141.8,21.7,0,0,22.3,0,0,25.3,0,0,0,0,0,0,121.2,7,126.2,16.7,6.3,1.7,0,3.3,3,0,0.3,0,6.3,0,0,0,0
343,0,0,133.6,36.4,0,1973.6,0,358.4,0,0,52.2,2143.2,4.8,0,0,16.4,0,0,18,0,0,0,0,0,0,152.2,1.2,163.8,17.6,4.8,3.2,0,0.4,1.6,8.4,0,0,10.4,0,0,0,0
344,0,0,8.7,24.7,0,1450.7,0,352.7,0,0,52,1249.3,8,0,0,8.7,0,0,24.7,0,0,0,0,0,0,128,0.7,45.3,6.7,0.7,0,0,1.3,2,1.3,0,0,2,0,0,0,0
345,0,0,18.7,11.3,0,1240.7,0,364,0,0,84.7,1345.3,12,0,0,22,0,0,11.3,0,0,0,0,0,0,62,1.3,154,6.7,0,0,0,0,0.7,0,0,0,9.3,0,0,0,0
346,0,0,10.7,0,0,1042.3,0,123,0,0,12,825,2.7,0,0,0,0,0,3.3,0,0,0,0,0,0,44.7,8,30,0,0,0.7,0,1.3,0.7,0,0,0,0,0,0,0,0
347,0,0,10,22.5,0,249.5,0,88.2,0,0,20,993.5,6,0,0,8.5,0,0,8,0,0,0,0,0,0,58,1.5,52.8,8,2,0,0,2.5,1,0,1,0,3.5,0,0,0,0
348,0,0,55.6,16.8,0,837,0,295,0,0,28.8,936,10.4,0,0,4.4,0,0,13.6,0,0,0,0,0,0,42.4,1.2,100.8,8.4,2.4,0.8,0,2.4,0,1.6,0,0,1.2,0,0,0,0
349,0,0,0,11.5,0,439.5,0,243.5,0,0,9.5,484.5,1,0,0,4.5,0,0,4,0,0,0,0,0,0,36.5,0,38,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0,0
350,0,0,7.5,16,0,920.2,0,227,0,0,25.5,1171.8,7,0,0,6,0,0,10.5,0,0,0,0,0,0,89.8,0.5,79,0.5,1.5,0,0,1,1,3,0,0,1,0,0,0,0
351,0,0,31.5,53,0,1409.8,0,466.5,0,0,36.5,2385.5,3.5,0,0,13.5,0,0,29.5,0,0,0,0,0,0,77,0.5,210,15,2,0,0,0,0.5,0,1,0,1,0,0,0,0
352,0,0,26,21,0,1058.5,0,165.5,0,0,40.8,2686.5,12,0,0,7,0,0,17.5,0,0,0,0,0,0,141.5,0,124.2,3.5,2.5,2,0,0,2,6,0,0,2.5,0,0,0,0
353,0,0,158.8,110.2,0,2212.2,0,350.5,0,0,59,1292.2,20.5,0,0,18.5,0,0,40.2,0,0,0,0,0,0,205.2,11.5,126.5,16.5,7,4,0,9.5,12.5,25.2,0,0,9,0,0,0,0
354,0,0,15.2,53,0,2021.6,0,335.4,0,0,76.6,2520.6,14.6,0,0,4.4,0,0,10.4,0,0,0,0,0,0,67.6,19.6,184.2,21,4.4,1.2,0,4.8,2,17,0,0,0.8,0,0,0,0
355,0,0,0.7,11.3,0,1067.8,0,192.5,0,0,14,370.7,8.7,0,0,1.3,0,0,2.7,0,0,0,0,0,0,34.7,9.7,70,6.7,1.7,0.7,0,3,0,0,0.3,0,1,0,0,0,0
356,0,0,11.7,11,0,1029.3,0,196.5,0,0,9.7,597.2,4.3,0,0,5.3,0,0,3.7,0,0,0,0,0,0,43.5,6,113.3,0.7,0,4.3,0,0.7,0.7,0,0,0,2,0,0,0,0
357,0,0,208.8,15.2,0,1567.6,0,169,0,0,90,1088.4,4.4,0,0,1.6,0,0,6,0,0,0,0,0,0,77.2,5.2,163,4.4,1.2,0.8,0,1.6,0,4.8,0.4,0,0.4,0,0,0,0
360,0,0,10,4.5,0,1068,0,188,0,0,23.8,1150.2,1,0,0,0,0,0,6.5,2.5,0,0,0,0,0,77,5,213.5,4.5,1,0.5,0,5.5,0.5,3,0,0,1,0,0,0,0
361,0,0,23.5,10.5,0,1095,0,274.5,0,0,31,814,4.5,0,0,10,0,0,10,0,0,0,0,0,0,60,3,100,23.5,7,0,0,1.5,3,4,0,0,5.5,0,0,0,0
362,0,0,22,40.5,0,2394.5,0,431.8,0,0,50,1512.8,17.5,0,0,29,0,0,14,0,0,0,0,0,0,152,19.5,178.5,16.5,4,0,0,4,1,4.5,0,0,3.5,0,0,0,0
363,0,0,45,34.2,0,1972.5,0,238.5,0,0,46.2,1422.8,6.5,0,0,10.5,0,0,22,5,0,0,0,0,0,129.5,10,185.5,15.5,3.5,4,0,3,8,3.5,0,0,11,0,0,0,0
364,0,0,38.8,35.5,0,1337.2,0,320.8,0,0,39.2,1415.8,14,0,0,29,0,0,30.5,1.5,0,0,0,0,0,219.8,10,296.8,19,7.5,3,0,5.5,3,6,0,0,15,0,0,0,0
365,0,0,28.7,15.3,0,1172,0,294.7,0,0,25.7,1116.7,4,0,0,1.3,0,0,18,12.7,0,0,0,0,0,145.7,5.3,380.3,0,4,1.3,0,1.3,1.3,10,1.3,0,7.3,0,0,0,0
